title,year,creator,tags,summary,url,thumbnail
Inspector Hornleigh Goes to It,1941,Edward Black,WWII | Comedy | British,Inspector Hornleigh and Sgt. Bingham join the military to go undercover to catch 5th columnists.,https://archive.org/details/inspector-hornleigh-goes-to-it,https://archive.org/services/img/inspector-hornleigh-goes-to-it
The Life Of Oharu,1952,Kenji Mizoguchi,Kenji Mizoguchi | drama | women in Japanese society | English-subtitles,"A peerless chronicler of the soul who specialized in supremely emotional, visually exquisite films about the circumstances of women in Japanese society, Kenji Mizoguchi had already been directing movies for decades when he made The Life of…",https://archive.org/details/the-life-of-oharu,https://archive.org/services/img/the-life-of-oharu
Trouble At Melody Mesa,1948,,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/trouble_at_melody_mesa,https://archive.org/services/img/trouble_at_melody_mesa
Rock Baby - Rock It,1957,Evelyn-Rock,Crime | Musical,Title: Rock Baby - Rock It Summary: Local Dallas teenagers resist attempts by shady underworld types to take over their beloved rock 'n' roll club. This rock 'n' roll-themed movie features top-notch rockabilly performances by... Directed…,https://archive.org/details/RockBabyRock,https://archive.org/services/img/RockBabyRock
Fit For A King (complete),,David L Loew,comedies | slapstick | romance | Joe E Brown | Helen Mack,"As of 12/27/11 this is the only complete print at IA. The other versions are missing ten significant minutes. Hapless reporter Joe E. Brown falls for reluctant princess Helen Mack. Romance, adventure and slapstick ensue. Paul Kelly, Harry…",https://archive.org/details/FitForAKingcomplete,https://archive.org/services/img/FitForAKingcomplete
Rhythm in the Clouds,1937,Albert E. Levoy,Comedy | Musical,"In this musical comedy, a struggling songwriter (Patricia Ellis) fakes a letter of admittance into the apartment of a rich composer (Warren Hull). It is most convenient as the successful fellow is out of town. The girl is hungry and unable…",https://archive.org/details/Rhythm_in_the_Clouds,https://archive.org/services/img/Rhythm_in_the_Clouds
"""Tess of the Storm Country"" (1922) director John S. Robertson with Mary Pickford",1922,,John S. Robertson | Mary Pickford | silent film | silent movie stars | free classic film | old movies | silent film streaming | silent era,This gem is presented by Silent Hall of Fame. Please visit https://silent-hall-of-fame.org/ to support our non-profit mission and the legacy of silent movie stars by making a tax deductible contribution. FEEL FREE TO FOLLOW US ON TWITTER…,https://archive.org/details/TessOfTheStormCountry,https://archive.org/services/img/TessOfTheStormCountry
No Man Of Her Own,,,1234,1234,https://archive.org/details/dipwad2_zoho_1234,https://archive.org/services/img/dipwad2_zoho_1234
"""A Natural Born Gambler"" (1916)",1916,,Bert Williams | Billy Bitzer | silent film | silent movie stars | free classic film | old movies | silent film streaming | silent era,This gem is presented by Silent Hall of Fame. Please visit https://silent-hall-of-fame.org/ to support our non-profit mission and the legacy of silent movie stars by making a tax deductible contribution. FEEL FREE TO FOLLOW US ON TWITTER…,https://archive.org/details/gambler,https://archive.org/services/img/gambler
El Arracadas(1978),1978,Alberto Mariscal,Vicente Fernandez | Mario Almada | Fernando Almada | Raquel Olmedo | Patricia Rivera | Roberto Cañedo | Tere Álvarez | Alfredo Guiterrez,"A young man arrives home to an assassinated father. His mother makes him promise to take vengeance upon the murderer of his father giving him an earring of which he is nicknamed ""el arracadas"". Upon swearing to take revenge, he goes out in…",https://archive.org/details/el-arracadas,https://archive.org/services/img/el-arracadas
Tomorrow's Children (1934) - Eugenics in America,,,Fabian Socialists | George W Bush | Patriot Movement | Patriot Act | guru | government | obama | slavery,"Tomorrow's Children' (1934) which was also called 'The Unborn' in the UK. This video is in the public domain. Please note the date of this movie. It is BEFORE the eugenics movement of Germany under Adolph Hitler, 1936 onward. That is…",https://archive.org/details/TomorrowsChildren1934-EugenicsInAmerica,https://archive.org/services/img/TomorrowsChildren1934-EugenicsInAmerica
Struggle,,Bruce Locke,Matt Sims | Bruce Locke | Toronto | Gay Village | Rent Boy | Teen Angst | Prostitute | Hustler,"Struggle is the story of Darren, a young gay man, who arrives in Toronto seeking a new life. Running out of money, and with nowhere to live, he quickly falls in with a group of gay rent boys. Complicating matters for himself, he falls in…",https://archive.org/details/Struggle_482,https://archive.org/services/img/Struggle_482
The Moon Is Blue,1953,Otto Preminger Films,Comedy | Romance,"Title: The Moon Is Blue Summary: Two aging playboys are both after the same attractive young woman, but she fends them off by claiming that she plans to remain a virgin until her wedding night. Both men determine to find a way around her…",https://archive.org/details/MoonIsBlue,https://archive.org/services/img/MoonIsBlue
The Nut Farm,1935,William T. Lackey,Comedy,"Bob (Oscar Apfel) and Helen (Betty Alden) decide to move to California and make a fresh start. Bob wants to buy a nut farm, but Helen dreams of being in the movies",https://archive.org/details/TheNutFarm,https://archive.org/services/img/TheNutFarm
Old Overland Trail,,Edward J White,westerns | B-westerns | Cowboys and Indians | racism | Rex Allen | Slim Pickens | Leonard Nimoy | Virginia Hall,It’s cowboys vs Indians and brother vs brother in this action-packed B-oater staring Rex Allen and his horse Koko. Leonard Nimoy is featured as a renegade Indian chief. Be advised it also includes a lot of “the only good Indian is a dead…,https://archive.org/details/oldoverlandtrail,https://archive.org/services/img/oldoverlandtrail
"The Fashioned In, Les Branches A Saint Tropez 1983 Olivia Dutron, Xavier Deluc, Yves Thuillier, Alexandra Lorska, Ticky Holgado, Annemieke Verdoorn, Nathalie Sintes, Mahalia Dalmasso",1983,Max Pecas,Olivia Dutron | Xavier Deluc | Yves Thuillier | alexandra Lorska | Ticky Holgado | annemieke Verdoorn | Nathalie Sintes | Mahalia Dalmasso,"Young people running around in Saint-Tropez. Probably there is a plot in there somewhere, but it is really not the main draw of the movie. In Italian, subtitles as separate files. Note that this is a smaller version of a file already on…",https://archive.org/details/the-fashioned-in-les-branches-a-saint-tropez-1983-olivia-dutron-xavier-deluc-yve,https://archive.org/services/img/the-fashioned-in-les-branches-a-saint-tropez-1983-olivia-dutron-xavier-deluc-yve
Desert Phantom,,,westerns | feature films,An entertaining western starring Johnny Mack Brown,https://archive.org/details/DesertPhantom,https://archive.org/services/img/DesertPhantom
Les Dernières Cartouches,1897,Georges Méliès,Gen X | Georges Méliès | Silent Film | Short Film | War,The Last Cartridges: An incident of the Franco-Prussian War. It shows the bombardment of a house at Bazeille. It is the animated reproduction of de Neuville's celebrated painting. Director: Georges Méliès Country: France Release Date: 1897…,https://archive.org/details/LesDerniresCartouches,https://archive.org/services/img/LesDerniresCartouches
Detour - Weirdness Bad Movie,,reallybadmovie@rocketmail.com,murder | noir | comedy | classic TV | film noir | Weirdness | Weird | public domain,"Public Access TV show ""Weirdness Really Bad Movie"" hosts public domain movies and ads clean comedy sketches enjoyable for the whole family. Today's film is Detour from 1945.",https://archive.org/details/Detour-WeirdnessBadMovie,https://archive.org/services/img/Detour-WeirdnessBadMovie
KIMBAR OF THE JUNGLE (1949),,,Steve Reeves | Trazan | Hercules | TV pilot,failed TV pilot similar to Tarzan,https://archive.org/details/KimbarOfTheJungle1949,https://archive.org/services/img/KimbarOfTheJungle1949
Caligula's Hot Nights 1977,1977,Roberto Bianchi Montero,Caligula's Hot Nights | Le calde notti di Caligola | Caligoloa | 1977 | Carlo Colombo | Cinzia Romanazzi | Gastone Pescucci | Fernando Cerulli,Caligula or Caligoloa is supposed to have sex with a virgin (apparently something hard to find in this version of ancient Rome) but it turns out he is impotent. He spends the rest of the movie fixing the problem. English language,https://archive.org/details/caligulas-hot-nights-1977,https://archive.org/services/img/caligulas-hot-nights-1977
Scrooge (1935),,Charles Dickens,Christmas,Christmas,https://archive.org/details/Scrooge1935,https://archive.org/services/img/Scrooge1935
Buster Keatons Shorts 2,1926,,shorts,Buster Keatons Shorts collection (2),https://archive.org/details/BusterKeatonsShorts2,https://archive.org/services/img/BusterKeatonsShorts2
Ali Fear Eats The Soul (1974),1974,Rainer Werner Fassbinder,Rainer Werner Fassbinder | 1970s | new german cinema | german cinema | german film | Marquard Bohm | Hannes Gromball | Brigitte Mira,"A lonely widow meets a much younger Arab worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies.",https://archive.org/details/yt-1s.com-ali-fear-eats-the-soul-angst-essen-seele-auf-1974-full-movie-brigitte-,https://archive.org/services/img/yt-1s.com-ali-fear-eats-the-soul-angst-essen-seele-auf-1974-full-movie-brigitte-
The Masque of the Red Death,1964,Roger Corman,Roger Corman | horror | Edgar Allan Poe | Vincent Price Collection I,The evil Prince Prospero is riding through the Catania village when he sees that the peasants are dying of Red Death plague. Prospero asks to burn down the village and he is offended by the villagers Gino and his father-in-law Ludovico. He…,https://archive.org/details/masque-of-the-red-death,https://archive.org/services/img/masque-of-the-red-death
Escape to Paradise,1939,,musical | comedy,You can find more information regarding this film on it's IMDB page. http://www.imdb.com/title/tt0031278/,https://archive.org/details/escape_to_paradise_ipod,https://archive.org/services/img/escape_to_paradise_ipod
The Wild Ride,,Harvey Berman,Jack Nicholson | teenage delinquent | hot rod | drag race,Early Jack Nicholson teenage delinquent movie,https://archive.org/details/TheWildRide_755,https://archive.org/services/img/TheWildRide_755
Ganja and Hess (1973)1080p,1973,"Bill Gunn, Lawrence Jordan",blaxploitation | art film | arthouse | arthouse cinema | black art film | Marlene Clark | Duane Jones | Leonard Jones,"Plot: After being stabbed with an ancient, germ-infested knife, a doctor's assistant finds himself with an insatiable desire for blood.",https://archive.org/details/ganja.and.-hess.-1973.1080p.-blu-ray.-h-264.-aac-rarbg,https://archive.org/services/img/ganja.and.-hess.-1973.1080p.-blu-ray.-h-264.-aac-rarbg
Broken Blossoms,1919,D.W. Griffith,Romance,"From IMDb : Cheng Huan is a missionary whose goal is to bring the teachings of peace by Buddha to the civilized Anglo-Saxons. Upon landing in England, he is quickly disillusioned by the intolerance and apathy of the country. He becomes a…",https://archive.org/details/Broken.Blossoms,https://archive.org/services/img/Broken.Blossoms
"A Blueprint For Murder (1953) Joseph Cotten, Jean Peters, Gary Merrill",1953,,Film Noir | Andrew L. Stone | Joseph Cotten | Jean Peters | Gary Merrill | 1940s | Mystery | Classsics,"A Blueprint for Murder is a 1953 thriller film noir starring Joseph Cotten, Jean Peters, and Gary Merrill. Andrew L. Stone wrote and directed the film. Find out more about the movie here .",https://archive.org/details/ablueprintformurder1953,https://archive.org/services/img/ablueprintformurder1953
She Devils of the SS (1973),1973,,War | Drama | Erotic | Softcore Porn,"In the last days of WW2, women are volunteering from all over Germany to serve in the front lines by having sex with Nazi soldiers.",https://archive.org/details/she.-devils.-of.-the.-ss.-1973.,https://archive.org/services/img/she.-devils.-of.-the.-ss.-1973.
Dr. Christian - Remedy For Riches,1940,William Stephens,Comedy | Edgar Kennedy,"A college friend of the local soda-jerk comes to town and lets it be known that he's looking for property on which to build a resort. When he buys some land and suddenly ""discovers"" there's oil underneath it--and generously offers to sell…",https://archive.org/details/RemedyForRiches,https://archive.org/services/img/RemedyForRiches
"1937 - Echo der Heimat - Ein Tatsachenbericht aus Deutschland - Fuenfte Folge (42m 40s, 352x256)",,,Echo | der | Heimat,"1937 - Echo der Heimat - Ein Tatsachenbericht aus Deutschland - Fuenfte Folge (42m 40s, 352x256)",https://archive.org/details/1937-Echo-der-Heimat-Ein-Tatsachenbericht-aus-Deutschland,https://archive.org/services/img/1937-Echo-der-Heimat-Ein-Tatsachenbericht-aus-Deutschland
Divorce His - Divorce Hers,1973,"Terence Baker, Gareth Wigan",Drama | Romance | Elizabeth Taylor | Richard Burton,"A two-part film, actually two concurrent stories, that reveals the dissolution of an 18-year marriage from two points of view. The stories are set in Rome, where the wealthy Martin and Jane Reynolds (Richard Burton and Elizabeth Taylor)…",https://archive.org/details/DivorceHis-DivorceHers,https://archive.org/services/img/DivorceHis-DivorceHers
A Lawman Is Born,1937,A.W. Hackel,Western | Johnny Mack Brown,"The wanted outlaw Tom Mitchell (Johnny Mack Brown) has put away his guns and now works in Root's store. When Sheriff Lance (Earle Hodgins) is killed, Martha Lance (Mary MacLaren) gets Tom to take the job. He straps the guns on again but…",https://archive.org/details/ALawmanIsBorn,https://archive.org/services/img/ALawmanIsBorn
Garden Of Evil,,,172,172,https://archive.org/details/dipwad2_zoho_1721,https://archive.org/services/img/dipwad2_zoho_1721
"""The Thief of Bagdad"" (1924) starring Douglas Fairbanks",1924,,Douglas Fairbanks | Snitz Edwards | silent film | silent movie stars | free classic film | old movies | silent film streaming | silent era,This gem is presented by Silent Hall of Fame. Please visit https://silent-hall-of-fame.org/ to support our non-profit mission and the legacy of silent movie stars by making a tax deductible contribution. FEEL FREE TO FOLLOW US ON TWITTER…,https://archive.org/details/vidtb,https://archive.org/services/img/vidtb
The Brain That Wouldn't Die - extended version (1962),,,horror | transplants | feature films,"I'm calling this the ""extended version"" because whether it's ""uncut"" or not is anybody's guess. The ""neck rip"" scene is intact. However, please note the picture quality is a bit washed out in some places but still watchable in my opinion.",https://archive.org/details/TheBrainThatWouldntDie-ExtendedVersion1962,https://archive.org/services/img/TheBrainThatWouldntDie-ExtendedVersion1962
Beware,1946,Bud Pollard,Musical | Romance,"A young man (Louis Jordan) returns to his alma mater, Ware College, to save it from its unscrupulous namesake Benjamin Ware III (Milton Woods). In the process, he sweeps his collage sweetheart off her feet.",https://archive.org/details/Beware_,https://archive.org/services/img/Beware_
Song of Freedom,1936,Will Hammer,Drama | Paul Robeson,"Although no-one could call this a great movie, it is of compelling historical interest. At a time when Black people in the movies were servants or scoundrels, Paul Robeson portrayed a London dock-worker who is discovered by an impresario…",https://archive.org/details/SongofFreedom,https://archive.org/services/img/SongofFreedom
Sherlock Holmes Baffled,,American Mutoscope Company,Sherlock Holmes | mutoscope | baffled | mystery | arcade film machines | historical,"The very first Sherlock Holmes film. About a minute long, this features Holmes confused by a disappearing bandit.",https://archive.org/details/SherlockHolmesBaffled,https://archive.org/services/img/SherlockHolmesBaffled
Sunset on the Desert,1942,Joseph Kane,Western | Roy Rogers,"Roy is mistaken for a bad guy expected by the local outlaw gang. He goes undercover to pin the goods on the bad guys. Just as he is about to do so, the real bad guy shows up.",https://archive.org/details/SunsetontheDesert,https://archive.org/services/img/SunsetontheDesert
37400,,,37400,37400,https://archive.org/details/37400,https://archive.org/services/img/37400
Black Widow ( 1954),,,https://www.imdb.com/title/tt0046791/?ref_=nv_sr_5,Film Noir,https://archive.org/details/BlackWidow1954,https://archive.org/services/img/BlackWidow1954
Broadway Limited,1941,,,IMDB movie information A publicity stunt staged on a train known as the Broadway Limited creates problems because of an unknown baby that was part of the stunt.,https://archive.org/details/BroadwayLimited,https://archive.org/services/img/BroadwayLimited
Broadway to Cheyenne,1932,Trem Carr,Western | Rex Bell,Broadway To Cheyenne starts off with a bunch of big city gangsters fighting and killing each other with Detective Breezy Kildare (Rex Bell) caught in the middle. When Breezy goes out west to the ranch where he grew up he runs into the same…,https://archive.org/details/BroadwaytoCheyenne,https://archive.org/services/img/BroadwaytoCheyenne
The Oklahoma Cyclone,1930,Trem Carr,Western | Bob Steele,"Jimmy Henderson (Bob Steele) is looking for his missing father. Suspecting McKim (Charles King), he joins his gang posing as the outlaw the Oklahoma Cyclone. The gang members take a dislike to him except for Slim (Al St. John) who becomes…",https://archive.org/details/TheOklahomaCyclone,https://archive.org/services/img/TheOklahomaCyclone
Reefer Madness,1936,George A. Hirliman Productions,Drama | Tell Your Children | Movie Powder | avi,"A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music. - IMDB Description",https://archive.org/details/ReeferMadness_479,https://archive.org/services/img/ReeferMadness_479
Bowery Blitzkrieg,1941,Sam Katzman,Bowery Boys | East Side Kids | comedy | boxing,"The East Side Kids discover that one of their own, Danny, is torn between staying and school and becoming a boxer, and is getting mixed up with gangsters.",https://archive.org/details/bowery_blitzkrieg_ipod,https://archive.org/services/img/bowery_blitzkrieg_ipod
Vengence Of The Zombies,,,Vengeance of the Zombies,This film has fallen into the Public Domain.,https://archive.org/details/VengenceOfTheZombies,https://archive.org/services/img/VengenceOfTheZombies
Larceny on the Air,1937,,radium | drug | patent medicine,The protagonist goes after a company that is selling a drug containing radium.,https://archive.org/details/Larceny_on_the_Air_1937,https://archive.org/services/img/Larceny_on_the_Air_1937
"Pitfall (1948) Dick Powell, Lizabeth Scott, Raymond Burr, Jane Wyatt - Film Noir",1948,,Andre DeToth | Raymond Burr | Dick Powell | Lizabeth Scott | Jane Wyatt | 1940s | Film Noir Full Movies | Film Noir,"Pitfall is a 1948 American film noir crime film directed by Andre DeToth. The film is based on the novel The Pitfall by Jay Dratler and stars Dick Powell, Lizabeth Scott, Jane Wyatt, and Raymond Burr. Wikipedia:…",https://archive.org/details/pitfall1948_202001,https://archive.org/services/img/pitfall1948_202001
Mujeres Salvajes ( 1984) 1080p,1984,Gabriel Retes,Gabriel Retes | Tina Romero | Jorge Santoyo | Patricia Mayers | Abel Woolrich | Vicky Vasquez | Tomás Leal | Cecilia Toussaint,"NOW IN HD AND WIDESCREEN RESTORED VERSION ADULTS ONLY! 18+ WARNING: THEMES OF SEXUAL VIOLENCE, DEPICTIONS OF SEXUAL ABUSE, TORTURE AND SEXUAL CONTENT! Plot: Six women murderers escape from prison to dug out a gold treasure buried in the…",https://archive.org/details/mujeres-salvajes-1984-1080p,https://archive.org/services/img/mujeres-salvajes-1984-1080p
"Night And The City (1950, UK) Richard Widmark, Gene Tierney- Film Noir Full Movie",1950,,Jules Dassin | Richard Widmark | Gene Tierney | 1950s | Film Noir Full Movies | Film Noir | Drama | Crime,"Night and the City is a 1950 film noir directed by Jules Dassin and starring Richard Widmark, Gene Tierney, Hugh Marlowe and Googie Withers. It is based on the novel of the same name by Gerald Kersh. Shot on location in London and at…",https://archive.org/details/nightandthecity1950,https://archive.org/services/img/nightandthecity1950
"Our Gang Silent ""No Noise""",,,Our Gang | Silent | No Noise,"No Noise is the 17th Our Gang short subject comedy released. The Our Gang series (later known as ""The Little Rascals"") was created by Hal Roach in 1922, and continued production until 1944.Mickey is in the hospital to have his tonsils…",https://archive.org/details/OurGangSilentnoNoise,https://archive.org/services/img/OurGangSilentnoNoise
Detective Kitty O'Day,,Lindsley Parsons,comedies | mysteries | whodunits | Jean Parker | Peter Cookson | Veda Ann Borg | Tim Ryan,"A high-energy, screwball whodunit with feisty Jean Parker in the title role. On board for the whacky ride are Peter Cookson, Veda Ann Borg and Tim Ryan who along with Victor Hammond co-wrote the screenplay. Directed by William Beaudine.…",https://archive.org/details/DetectiveKittyOday,https://archive.org/services/img/DetectiveKittyOday
WW1-ChateauThierry,1917,US Army Signal Corps.,World War 1,WW1 footage telecined from 35mm film circa 1917 made by the US Army Signal Corp.,https://archive.org/details/WW1-Footage-ChateauThierry,https://archive.org/services/img/WW1-Footage-ChateauThierry
The High Sign,,,Buster. Keaton | comedy | silent | guns,"The High Sign by Buster Keaton, 1921. Should you need a reminder of what a great comic Buster Keaton was, go no further than here. He starts off with a brilliant scene of reading a newspaper, goes to a shooting gallery where he hooks up a…",https://archive.org/details/TheHighSign,https://archive.org/services/img/TheHighSign
Jesse James Meets Frankenstein's Daughter,,William Beaudine,pdmovies,"Legendary outlaw of the Old West Jesse James, on the run from Marshal MacPhee, hides out in the castle of Baron Frankenstein's granddaughter Maria, who proceeds to transform Jesse's slow-witted pal Hank into a bald zombie, which she names…",https://archive.org/details/Jesse_James_Meets_Frankensteins_Daughter,https://archive.org/services/img/Jesse_James_Meets_Frankensteins_Daughter
"Deadline – U. S. A. (1952) Humphrey Bogart, Ethel Barrymore - Film Noir Full Movie",1952,,Richard Brooks | Humphrey Bogart | 1950s | Film Noir Full Movies | Film Noir | Drama | Crime | Classics,"Deadline – U.S.A. is a 1952 American film noir crime film starring Humphrey Bogart, Ethel Barrymore and Kim Hunter, written and directed by Richard Brooks. Wikipedia: https://en.wikipedia.org/wiki/Deadline_%E2%80%93_U.S.A. Suggested Film…",https://archive.org/details/deadlineusa1952_202001,https://archive.org/services/img/deadlineusa1952_202001
Karavan smerti (The caravan of death),1991,Mentor Cinema,Russia | Karavan smerti | film | bandits | terrorists | russian army | RussTV,"Karavan smerti The fight of group of frontier guards with a gang which has got for terrorism on southern border of Russia. A life and death, love and hatred... Director: Ivan Solovov Cast: Alexander Pankratov-Chorny, Boris Khmelnitsky,…",https://archive.org/details/KaravanSmertitheCaravanOfDeath,https://archive.org/services/img/KaravanSmertitheCaravanOfDeath
The Invisible Killer,1939,Sigmund Neufeld,Mystery,"Reporter Sue Walker (Grace Bradley) has too much inside information on the local gambling rackets to suit her sweetheart, Detective Lieutenant Jerry Brown (Roland Drew), chief of the police Homicide Squad.",https://archive.org/details/TheInvisibleKiller,https://archive.org/services/img/TheInvisibleKiller
"1933 - Die Nuernberger Reichsparteitage der NSDAP aus den Jahren 1927, 1929 und 1933 (1h 26m, 352x272)",,,Nuernberg | Reichsparteitag,"1933 - Die Nuernberger Reichsparteitage der NSDAP aus den Jahren 1927, 1929 und 1933 (1h 26m, 352x272)",https://archive.org/details/1933-Die-Nuernberger-Reichsparteitage,https://archive.org/services/img/1933-Die-Nuernberger-Reichsparteitage
Road Show (1941),,,Adolphe Menjou | Carole Landis | John Hubbard | Charles Butterworth | Patsy Kelly | George E. Stone | Margaret Roach | Polly Ann Young,Drogo Gaines is a rich playboy with a gold digger after him. He escapes marriage by faking insanity. But when he wakes up he finds they have put him in an asylum. Mystic Nights Videos,https://archive.org/details/RoadShow1941,https://archive.org/services/img/RoadShow1941
Erich Von Stroheim's FOOLISH WIVES (1922),,,Erich Von Stroheim | drama | silent film | roaring Twenties,"FILM IN 2 PARTS!!!! The 130 minutes version left of a film supposedly 6 hours long in its primary form. The most expensive production of that time, they say. (Director Stroheim, $700,000 producer Carl Laemmle, $1,300,000). Monte Carlo was…",https://archive.org/details/ErichVonStroheimsFoolishWives1922,https://archive.org/services/img/ErichVonStroheimsFoolishWives1922
Lights of Old Santa Fe (1944),,,Roy Rogers | George 'Gabby' Hayes | Dale Evans | Lloyd Corrigan | Tom Keene | Claire Du Brey | Arthur Loft | Roy Barcroft,"Two rival rodeos are competing for bookings. Gaby gets a gig in Albuquerque, but Madden's men destroy his equipment. Mystic Nights Videos",https://archive.org/details/LightsOfOldSantaFe1944,https://archive.org/services/img/LightsOfOldSantaFe1944
"""Camille"" (1921)",1921,,Alla Nazimova | Rudolph Valentino | Patsy Ruth Miller | Rex Cherryman | Arthur Hoyt | Ray C. Smallwood | Natasha Rambova | silent film,This gem is presented by Silent Hall of Fame. Please visit https://silent-hall-of-fame.org/ to support our non-profit mission and the legacy of silent movie stars by making a tax deductible contribution. FEEL FREE TO FOLLOW US ON TWITTER…,https://archive.org/details/Camille1921,https://archive.org/services/img/Camille1921
Sheriff of Sage Valley,1942,Sigmund Neufeld,Western | Billy the kid | Buster Crabbe,"Billy (Buster Crabbe) and his pals, on the run from the law again, travel to Sage Valley where Billy is made Sheriff. The local outlaw gang is run by Kansas Ed (Charles King) who closely resembles Billy. Ed captures Billy and changing…",https://archive.org/details/SheriffofSageValley,https://archive.org/services/img/SheriffofSageValley
"Charlie Chaplin's ""The Cure"" (1917)",1917,,Charlie Chaplin | Edna Purviance | Eric Campbell | silent film | silent movie stars | free classic film | old movies | silent film streaming,This gem is presented by Silent Hall of Fame. Please visit https://silent-hall-of-fame.org/ to support our non-profit mission and the legacy of silent movie stars by making a tax deductible contribution. FEEL FREE TO FOLLOW US ON TWITTER…,https://archive.org/details/CharlieChaplinsTheCure1917,https://archive.org/services/img/CharlieChaplinsTheCure1917
Postal Inspector,1936,,Bela Lugosi | musical | Ricardo Cortez,The only musical featuring Bela Lugosi .,https://archive.org/details/Postal_Inspector_1936,https://archive.org/services/img/Postal_Inspector_1936
Baby Face Morgan,1942,"Leon Fromkess, Jack Schwarz",crime | comedy,"When crime boss Big Mike Morgan is killed, his lieutenant, ""Doc"" Rogers, learns that Morgan has a son named Edward living it the country with his mother. Rogers has Edward brought to the city and installs him as the head of Acme Protective…",https://archive.org/details/baby_face_morgan_ipod,https://archive.org/services/img/baby_face_morgan_ipod
Ridin' Down the Canyon (1942),,,Roy Rogers | George 'Gabby' Hayes | Bob Nolan | Linda Hayes | Lorna Gray | Mystic Nights Videos,Ridin' Down the Canyon (1942) PD - Copyright not renewed,https://archive.org/details/RidinDownTheCanyon1942,https://archive.org/services/img/RidinDownTheCanyon1942
"The Naked City (1948) Dir: Jules Dassin, Starring Barry Fitzgerald, Howard Duff, Dorothy Hart",1948,,Film Noir | Jules Dassin | Barry Fitzgerald | Howard Duff | Dorothy Hart | 1940s | Mystery | Classsics,"The Naked City is a 1948 American film noir directed by Jules Dassin, featuring Barry Fitzgerald and Howard Duff. The movie, shot partially in documentary style, was filmed on location on the streets of New York City and features landmarks…",https://archive.org/details/thenakedcity1948_202003,https://archive.org/services/img/thenakedcity1948_202003
"Sorry, Wrong Number (1948) Director: Michael Curtiz, Featuring Barbara Stanwyck, Burt Lancaster, Wendell Corey, Ed Begley, William Conrad",1948,,Film Noir | Michael Curtiz | Barbara Stanwyck | Burt Lancaster | Wendell Corey | Ed Begley | William Conrad | 1940s,"Sorry, Wrong Number is a 1948 American thriller FILM NOlR directed by Anatole Litvak and starring Barbara Stanwyck, Burt Lancaster, Wendell Corey, Ed Begley and William Conrad. It tells the story of a woman who overhears a murder plot. The…",https://archive.org/details/sorry.-wrong.-number-1948,https://archive.org/services/img/sorry.-wrong.-number-1948
The King Murder 1932,1932,Chesterfield Motion Pictures Corporation,Natalie Moorhead | Marceline Day | Lee Phelps | Robert Frazer | Conway Tearle,Based on the actual murder of gold-digging showgirl Dorothy 'Dot' King in 1923.,https://archive.org/details/TheKingMurder1932,https://archive.org/services/img/TheKingMurder1932
The Eye Creatures,,L. D. Moore,Larry Buchanan | Sci-Fi | Aliens,A modification of the other color file provided by Movie Powder removing the copyright notice by creating a new title.,https://archive.org/details/TheEyeCreatures_303,https://archive.org/services/img/TheEyeCreatures_303
Children of the Night,1985,Conrad Holzgang,Drama,Fact-based drama about a sociology graduate (Kathleen Quinlan) who starts working with teen prostitutes in Hollywood. The film does not draw back on its depiction of the brutality that the teens face nor of the exploitation that occurs…,https://archive.org/details/ChildrenoftheNight,https://archive.org/services/img/ChildrenoftheNight
The Cheat,1915,Cecil B. DeMille and Jesse L. Lasky,Crime | Charity | Embezzlement | Branding,"From IMDb : A venal, spoiled stockbroker's wife impulsively embezzles $10,000 from the charity she chairs, and desperately turns to a Burmese ivory trader to replace the stolen money. Stars: Fannie Ward, Sessue Hayakawa, Jack Dean, James…",https://archive.org/details/The_Cheat,https://archive.org/services/img/The_Cheat
We're in the Legion Now!,,,We're in the Legion Now | Reginald Denny | Vince Barnett | Esther Ralston | Claudia Dell | Public Domain | Comedy | Feature Films,From IMDb - Two petty gangsters trying to elude their enemies join the French Foreign Legion.,https://archive.org/details/WereInTheLegionNow,https://archive.org/services/img/WereInTheLegionNow
Footpath 2003 Dv D 10bit X 265 5.1 AAC HEVC Natty,,,movie,Footpath,https://archive.org/details/footpath-2003-dv-d-10bit-x-265-5.1-aac-hevc-natty,https://archive.org/services/img/footpath-2003-dv-d-10bit-x-265-5.1-aac-hevc-natty
Fanny by Gaslight,,Edward Black,dramas | Victorian melodrama | romantic dramas | Phyllis Calvert | James Mason | Stewart Granger | Jean Kent | Margaretta Scott,"“Pioneering, innovating film” “Very engrossing” “Part Dickens, part soap opera” “Entertaining” “Overblown Gainsborough gloop” (IMDB reviews quotes). Victorian romantic melodrama with a plot too risque for the prudish Hayes Office censors.…",https://archive.org/details/FannyByGaslight,https://archive.org/services/img/FannyByGaslight
SABOTAGE image quality upgrade,,Michael Balcon (uncredited),suspense dramas | sabotage | bomb plot | Silvia Sidney | Oskar Homolka | John Loder | Desmond Tester | Peter Bull (uncredited),"This print is much sharper and cleaner than the existing IA copies. Another outstanding suspense thriller from Hitchcock's British years. If it isn't as popular as ""The 39 Steps"" or ""The Lady Vanishes,"" it's probably because it's mounted…",https://archive.org/details/SabotageImageQualityUpgrade,https://archive.org/services/img/SabotageImageQualityUpgrade
